field_name,collection,csv_file
fedora_writable,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_description,BasbanesEternalPassion,BasbanesEternalPassion.csv
fedora_lastModified,BasbanesEternalPassion,BasbanesEternalPassion.csv
fedora_createdBy,BasbanesEternalPassion,BasbanesEternalPassion.csv
dcterms_type,BasbanesEternalPassion,BasbanesEternalPassion.csv
dcterms_created,BasbanesEternalPassion,BasbanesEternalPassion.csv
fedora_hasParent,BasbanesEternalPassion,BasbanesEternalPassion.csv
dcterms_abstract,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_language,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_format,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_type,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_title,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_creator,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_rights,BasbanesEternalPassion,BasbanesEternalPassion.csv
files,BasbanesEternalPassion,BasbanesEternalPassion.csv
dcterms_coverage,BasbanesEternalPassion,BasbanesEternalPassion.csv
dc_contributor,BasbanesEternalPassion,BasbanesEternalPassion.csv
fedora_lastModifiedBy,berger_cloonan,berger_cloonan.csv
dc_type,berger_cloonan,berger_cloonan.csv
fedora_created,berger_cloonan,berger_cloonan.csv
dc_format,berger_cloonan,berger_cloonan.csv
fedora_hasParent,berger_cloonan,berger_cloonan.csv
dc_subject,berger_cloonan,berger_cloonan.csv
dc_identifier,berger_cloonan,berger_cloonan.csv
dcterms_accessRights,berger_cloonan,berger_cloonan.csv
ldp_contains,berger_cloonan,berger_cloonan.csv
fedora_lastModified,berger_cloonan,berger_cloonan.csv
fedora_writable,berger_cloonan,berger_cloonan.csv
dcterms_extent,berger_cloonan,berger_cloonan.csv
dc_publisher,berger_cloonan,berger_cloonan.csv
dcterms_created,berger_cloonan,berger_cloonan.csv
dc_rights,berger_cloonan,berger_cloonan.csv
fedora_createdBy,berger_cloonan,berger_cloonan.csv
dc_title,berger_cloonan,berger_cloonan.csv
dcterms_medium,berger_cloonan,berger_cloonan.csv
dcterms_type,berger_cloonan,berger_cloonan.csv
tamudigital_local/details,berger_cloonan,berger_cloonan.csv
files,berger_cloonan,berger_cloonan.csv
dc_creator,berger_cloonan,berger_cloonan.csv
dcterms_spatial,berger_cloonan,berger_cloonan.csv
dc_contributor,berger_cloonan,berger_cloonan.csv
dc_relation,berger_cloonan,berger_cloonan.csv
dc_type,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_identifier,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
ldp_contains,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dcterms_accessRights,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
fedora_created,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_publisher,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
tamudigital_local/details,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
fedora_hasParent,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dcterms_created,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_format,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
fedora_createdBy,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dcterms_extent,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dcterms_type,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
